House_ID,Date,Consumption_kWh,Avg_Temperature_C,Humidity_%,Cost_R$,Occupancy_Status,House_Type
1,2019-01-01,85.22,26.6,32.04,42.61,Vacant,Townhouse
1,2019-01-02,85.95,16.18,59.93,42.98,Vacant,Single Family
1,2019-01-03,59.71,30.34,52.81,29.85,Occupied,Apartment
1,2019-01-04,20.75,19.86,84.96,10.37,Vacant,Single Family
1,2019-01-05,23.22,26.96,57.37,11.61,Occupied,Apartment
1,2019-01-06,50.32,30.56,40.58,25.16,Occupied,Single Family
1,2019-01-07,67.25,15.02,37.16,33.62,Occupied,Apartment
1,2019-01-08,90.64,34.19,59.65,45.32,Occupied,Apartment
1,2019-01-09,67.49,23.57,48.63,33.75,Occupied,Apartment
1,2019-01-10,83.52,22.6,54.77,41.76,Vacant,Single Family
1,2019-01-11,33.03,26.33,65.87,16.52,Occupied,Single Family
1,2019-01-12,80.43,30.14,73.41,40.22,Vacant,Single Family
1,2019-01-13,82.7,22.68,80.43,41.35,Vacant,Single Family
1,2019-01-14,33.48,17.26,36.12,16.74,Occupied,Single Family
1,2019-01-15,22.82,30.35,55.93,11.41,Vacant,Townhouse
1,2019-01-16,19.77,29.19,48.78,9.88,Occupied,Apartment
1,2019-01-17,72.36,15.41,68.81,36.18,Vacant,Apartment
1,2019-01-18,85.29,33.53,48.45,42.65,Occupied,Single Family
1,2019-01-19,24.35,29.18,61.29,12.17,Occupied,Single Family
1,2019-01-20,93.38,28.64,38.69,46.69,Vacant,Townhouse
1,2019-01-21,73.17,27.46,74.35,36.59,Vacant,Single Family
1,2019-01-22,15.32,15.68,56.72,7.66,Vacant,Single Family
1,2019-01-23,93.57,15.76,82.89,46.78,Vacant,Townhouse
1,2019-01-24,22.33,20.05,57.54,11.17,Vacant,Townhouse
1,2019-01-25,36.47,17.53,51.11,18.23,Occupied,Single Family
1,2019-01-26,13.11,29.34,38.12,6.55,Occupied,Townhouse
1,2019-01-27,51.82,17.41,62.82,25.91,Occupied,Apartment
1,2019-01-28,65.4,23.85,42.72,32.7,Vacant,Townhouse
1,2019-01-29,61.28,16.87,47.97,30.64,Occupied,Apartment
1,2019-01-30,24.25,21.48,55.78,12.13,Occupied,Single Family
2,2019-01-01,38.59,31.78,53.04,19.29,Occupied,Apartment
2,2019-01-02,77.37,27.83,88.26,38.69,Occupied,Apartment
2,2019-01-03,16.49,19.75,88.93,8.24,Vacant,Townhouse
2,2019-01-04,40.1,21.85,42.89,20.05,Vacant,Townhouse
2,2019-01-05,73.11,15.64,62.06,36.56,Vacant,Townhouse
2,2019-01-06,45.87,20.71,36.01,22.94,Vacant,Townhouse
2,2019-01-07,89.02,34.47,73.66,44.51,Occupied,Townhouse
2,2019-01-08,81.88,21.31,66.45,40.94,Vacant,Single Family
2,2019-01-09,90.22,33.28,39.44,45.11,Vacant,Townhouse
2,2019-01-10,81.39,31.39,78.54,40.7,Vacant,Single Family
2,2019-01-11,53.53,33.78,71.18,26.76,Vacant,Townhouse
2,2019-01-12,53.26,19.64,75.69,26.63,Occupied,Apartment
2,2019-01-13,13.35,18.63,87.76,6.67,Occupied,Single Family
2,2019-01-14,13.55,28.37,46.69,6.77,Occupied,Townhouse
2,2019-01-15,59.01,31.91,49.55,29.5,Vacant,Apartment
2,2019-01-16,69.33,21.07,54.89,34.66,Occupied,Single Family
2,2019-01-17,84.42,20.39,78.46,42.21,Vacant,Townhouse
2,2019-01-18,25.25,22.04,60.05,12.63,Occupied,Townhouse
2,2019-01-19,50.46,28.66,35.43,25.23,Occupied,Townhouse
2,2019-01-20,17.05,19.97,43.33,8.52,Occupied,Townhouse
2,2019-01-21,67.54,25.88,62.4,33.77,Vacant,Apartment
